generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1759874352-Rnmf6ddft3qz3MgkkL5h,2025-10-07 21:59:12.511,0.014965,,,,0,148273,346,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,3825,2338,,VSC3
gen-1759874351-kCNmqiMylrdu3EmQBmhm,2025-10-07 21:59:10.664,0.000882,,,,0,8825,1,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MAX_TOKENS,length,1000,998,,VSC3
gen-1759874333-qgrpEi9o9lX6JCWJZQJ5,2025-10-07 21:58:53.659,0.016202,,,,0,145974,4013,4013,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,14278,3271,,VSC3
gen-1759874315-VlxE0qT5YZE5GBSqGE6F,2025-10-07 21:58:35.821,0.014899,,,,0,145974,755,644,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MALFORMED_FUNCTION_CALL,stop,16375,3106,,VSC3
gen-1759874313-RcLV8AKifx6FP9DnQoRx,2025-10-07 21:58:33.638,0.000882,,,,0,8825,1,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MAX_TOKENS,length,805,804,,VSC3
gen-1759874268-wIxfOg4hHKHdPrlzIH36,2025-10-07 21:57:48.759,0.029005,,,0,0,115137,221,0,qwen/qwen3-coder-480b-a35b-07-25,SiliconFlow,standard,false,true,,stop,stop,13337,28642,,VSC3
gen-1759874267-7I8A2bA6nHYMUM4QmZcm,2025-10-07 21:57:47.238,0.000768,,,,0,7687,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MAX_TOKENS,length,848,848,,VSC3
gen-1759874227-qR4J3YpJVPp2m1j236dX,2025-10-07 21:57:07.553,0.000101,,,,0,614,101,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,1189,975,,VSC3
gen-1759874226-EGbQoXciG7mtLkN1y1he,2025-10-07 21:57:06.604,0.052465,,,0,0,114391,550,0,qwen/qwen3-coder-480b-a35b-07-25,Fireworks,standard,false,true,,tool_calls,tool_calls,30228,4758,,VSC3
gen-1759874225-H85tAckLTV0irJAHKXXE,2025-10-07 21:57:05.550,0.000768,,,,0,7687,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MAX_TOKENS,length,1019,1018,,VSC3
gen-1759874209-nqyZXewpcLAoOcjfIWer,2025-10-07 21:56:49.415,0.000199,,,,0,759,309,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,1184,636,,VSC3
gen-1759874207-BLisn4AAs6NfIcMUHV01,2025-10-07 21:56:47.901,0.025044,,,0,0,113664,40,0,qwen/qwen3-coder-480b-a35b-07-25,Chutes,standard,false,true,,tool_calls,tool_calls,520,10778,,VSC3
gen-1759874206-j1i0AiamzdRC1cfMUD8B,2025-10-07 21:56:46.413,0.000768,,,,0,7687,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MAX_TOKENS,length,661,661,,VSC3
gen-1759874201-uOS0MwERpWieH6YbCUXc,2025-10-07 21:56:41.948,0.000768,,,,0,7687,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,MAX_TOKENS,length,658,657,,VSC3
gen-1759874201-mLpHGZgcAXzwMXDRbAMR,2025-10-07 21:56:41.015,0.032879,,,0,0,113106,66,0,qwen/qwen3-coder-480b-a35b-07-25,DeepInfra,standard,false,true,,stop,tool_calls,669,1981,,VSC3
gen-1759874200-utGN9C8yVWz9twC70Oef,2025-10-07 21:56:39.940,0.000097,,,,0,779,49,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,981,752,,VSC3
